#Frequenies of a certain value of E. Binning of 0.1 from 0 to 6.3
0 28 3381 31607 77595 87728 63940 35597 17534 7793 3608 1569 694 325 197 95 28 14 15 8 5 6 3 2 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  -4
0 41 3427 32178 79153 88196 63672 34887 16695 7517 3339 1433 676 293 138 60 31 12 10 9 1 3 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  4
0 29 3591 32722 78899 88942 62874 34648 16727 7502 3278 1393 636 275 115 68 29 18 12 7 3 2 3 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  2
0 30 3591 32568 78521 88296 62908 35151 16951 7668 3317 1475 689 311 131 81 40 19 13 7 4 3 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  6
0 28 3383 31912 77878 88098 63851 35235 17182 7822 3472 1548 699 318 163 69 51 32 13 7 4 5 4 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  3
0 26 3596 32965 79387 88634 62606 34368 16784 7419 3354 1453 599 303 130 76 38 11 14 9 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  4
0 26 3610 33244 80389 88761 62608 34091 16292 7337 2993 1355 582 233 129 54 26 26 9 2 5 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  2
0 36 3362 31536 77958 88618 64300 35498 16842 7734 3332 1417 619 285 123 61 26 13 8 4 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  -5
0 28 3394 32232 78662 88378 63528 35110 16918 7695 3199 1468 632 257 123 61 36 23 16 3 5 3 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  -2
0 39 3366 31742 78534 88389 63348 35373 17198 7701 3408 1491 610 304 134 68 34 15 9 6 2 3 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  3
