# AVG, MAX and MIN of the 16 spacial blocks in the lattice
0.580606 1.971156 0.152009 0.590322 1.786355 0.177393 0.568546 1.888682 0.180204 0.569254 1.827933 0.189945 0.585750 1.823710 0.213045 0.581316 1.966716 0.190167 0.584745 2.097114 0.189761 0.588806 1.836733 0.193512 0.565821 1.851363 0.202245 0.577086 2.019426 0.176422 0.578090 1.972428 0.188257 0.582078 1.894703 0.174513 0.570435 1.837018 0.179402 0.567682 1.641425 0.193552 0.564885 1.531169 0.196606 0.580986 1.863512 0.169798  4
0.577757 2.709876 0.188509 0.571244 1.495983 0.167717 0.570705 2.032409 0.196582 0.569362 1.680936 0.196368 0.585580 1.762460 0.209891 0.580914 1.663295 0.195605 0.573861 1.561451 0.197757 0.577267 1.826539 0.197192 0.580872 1.820612 0.191364 0.569041 2.335043 0.197459 0.578610 2.004302 0.164858 0.564022 1.768682 0.198819 0.581383 1.718727 0.194225 0.578105 2.207252 0.188122 0.569162 2.136009 0.166005 0.571525 2.011104 0.196684  2
0.577578 1.676226 0.199093 0.574123 1.718487 0.169416 0.599478 1.753003 0.192265 0.586489 2.052213 0.189103 0.575694 1.796583 0.166831 0.574146 1.835068 0.179285 0.582471 2.356076 0.168228 0.577869 1.704982 0.171774 0.576184 1.789111 0.191099 0.585873 1.976665 0.165679 0.569266 1.882319 0.172199 0.574407 1.890517 0.187015 0.587406 1.635511 0.194764 0.580047 2.350360 0.145398 0.570973 1.801725 0.202007 0.589223 1.779252 0.205945  -5
0.572130 2.282924 0.195770 0.578417 1.848131 0.195609 0.579641 1.553709 0.205846 0.571899 1.572147 0.181832 0.572460 2.313415 0.174894 0.588017 1.850653 0.193221 0.578108 1.837001 0.217298 0.575516 1.871786 0.180873 0.577893 2.182504 0.182969 0.578962 2.210419 0.207839 0.578043 1.711211 0.186013 0.571696 1.923854 0.202006 0.588256 2.056781 0.185219 0.587310 1.765382 0.156800 0.583813 2.450866 0.193409 0.579714 1.907535 0.185955  -2
0.582539 2.010032 0.177845 0.583113 1.625542 0.167441 0.582524 1.665378 0.215422 0.587520 1.702082 0.146049 0.574042 1.868948 0.162894 0.579741 2.122516 0.178037 0.577599 1.586474 0.198230 0.574663 2.128055 0.196992 0.575904 1.994484 0.180494 0.580459 1.652722 0.197856 0.579862 2.148689 0.185847 0.591939 2.835278 0.178160 0.582706 1.710640 0.195890 0.575843 1.849384 0.183894 0.568428 1.696610 0.180521 0.585832 3.218355 0.172770  3
0.584381 2.590192 0.196720 0.588318 2.418722 0.178719 0.573240 1.635198 0.178201 0.582189 2.402704 0.190581 0.587392 2.506178 0.183309 0.576522 2.026705 0.177993 0.572034 1.674751 0.192218 0.585556 2.117994 0.196810 0.578995 2.434009 0.171978 0.579799 1.896097 0.184042 0.570626 2.405054 0.203838 0.570614 1.988480 0.210842 0.583463 2.756201 0.161480 0.567102 1.771398 0.169162 0.577151 1.803290 0.187659 0.582244 1.790626 0.181587  1
0.584419 1.832666 0.168380 0.572209 1.847280 0.187969 0.572840 2.173234 0.196115 0.566312 2.978654 0.153730 0.573777 1.586306 0.191176 0.572963 2.179420 0.198683 0.587197 2.328581 0.180839 0.573429 1.890539 0.179220 0.579599 1.981296 0.181514 0.579686 2.081710 0.189263 0.584910 3.084612 0.201100 0.572137 1.874919 0.189444 0.583585 2.326097 0.185662 0.571178 2.060164 0.184207 0.583781 2.042311 0.166486 0.578733 1.860316 0.201761  -4
0.580840 1.927124 0.197546 0.584429 2.105020 0.197108 0.573942 1.853098 0.161336 0.572645 2.635399 0.181894 0.579193 1.877507 0.194984 0.577693 2.438688 0.197750 0.568452 1.799391 0.172128 0.581431 2.379620 0.203416 0.571063 1.960759 0.204763 0.577294 2.124462 0.191773 0.573382 1.854445 0.193349 0.570818 2.176221 0.185373 0.573353 1.869710 0.172860 0.585879 1.614680 0.179342 0.579243 2.009508 0.192325 0.571919 1.829585 0.168884  -2
0.573677 1.838459 0.195968 0.584194 2.154480 0.193042 0.586677 2.160082 0.187676 0.574713 1.734390 0.196374 0.572873 1.979791 0.126609 0.580435 2.324711 0.150186 0.580775 1.809612 0.197759 0.574523 1.654660 0.184030 0.580309 1.680308 0.195139 0.572606 1.787961 0.190830 0.577352 2.217729 0.194444 0.580789 2.078809 0.203246 0.579959 1.999140 0.185205 0.586423 1.906561 0.205518 0.576069 1.587431 0.189277 0.578808 2.182229 0.193117  1
0.582081 1.994712 0.207156 0.574357 2.453417 0.179495 0.571305 2.059266 0.174420 0.570596 1.852345 0.169183 0.574312 1.722861 0.208907 0.575116 1.961027 0.153209 0.571176 1.879882 0.183165 0.565668 1.969931 0.203123 0.572053 1.737455 0.191960 0.571044 1.816258 0.173351 0.594786 2.517575 0.191053 0.585914 1.793495 0.174381 0.582407 1.817610 0.169434 0.578279 1.718673 0.178058 0.573189 2.250245 0.187527 0.581082 1.953441 0.199218  3
